(28, 70)
(153, 135)
(45, 42)
(150, 110)
(139, 124)
(82, 61)
(28, 156)
(95, 34)
(81, 42)
(131, 31)
(117, 41)
(70, 89)
(163, 55)
(64, 67)
(162, 160)
(84, 145)
(128, 39)
(67, 100)
(150, 26)
(100, 116)
(102, 145)
(143, 85)
(130, 33)
(66, 99)
(154, 144)
(59, 34)
(133, 20)
(124, 151)
(133, 26)
(32, 171)
(123, 127)
(94, 23)
(127, 168)
(165, 20)
(15, 143)
(141, 161)
(165, 100)
(27, 162)
(107, 150)
(155, 55)
(86, 168)
(171, 139)
(86, 61)
(78, 19)
(36, 139)
(80, 155)
(38, 41)
(125, 91)
(74, 43)
(152, 103)
